Strike Price,CALL_LTP,PUT_LTP,GAMMA_CALL
129,5.831315587568142,7.242142810174217,0.26184133413417565
148,8.276293028303106,7.131077508560502,0.26378442338392877
120,6.94066371688315,5.145741253060259,0.12018616177385266
120,7.175071257018686,6.2127354684698854,0.10178656596563102
106,6.313381346313078,8.68008966944117,0.13709566849045823
144,5.256217862255554,6.190202001503575,0.22919888345046394
132,7.309331544369138,5.333401542736917,0.17821172187909665
136,5.678129904142151,7.270123247821654,0.11893465889182878
120,9.649232174031752,5.646824598436796,0.2530667702436311
139,7.275000657094752,7.726646115544714,0.1871673096446631
121,7.766061027064122,4.416448296939126,0.29709257564401303
135,8.660724005941791,5.897102591483594,0.2917798680360113
122,8.826705412246824,8.501714301670905,0.2422255198789735
149,9.940891612552079,7.387897393702888,0.21672377549574412
126,5.533754016841551,4.612871045420869,0.2593294166828992
109,9.674559687173979,8.366218410996408,0.1938591041285282
111,8.069316679290015,4.617317791566604,0.23510353058377775
133,8.901642254646497,4.6729067481446265,0.14007622689896332
107,6.20265274168834,7.685221052894453,0.2368456420785144
120,9.532251925982429,7.498164173086154,0.2563305576654942
118,6.873787730800974,6.375371114384075,0.25275391190890095
145,5.57076506426864,7.745201990894945,0.19708454785835144
122,5.1285068083869,5.236571107694555,0.2252523213221548
121,8.594193767905072,6.18343439782357,0.22562978510138051
123,5.539091225453971,4.849875965314252,0.17667380209793498
103,6.493896467995244,5.096869914763891,0.26510058676889914
139,6.107135077576361,6.955885612949957,0.22148302078860344
114,6.534276256517476,7.51511690946915,0.282639075989994
126,8.893480915047753,6.853873397477705,0.15316722553601173
135,6.2162206503728665,6.364886170392636,0.273995670915663
129,8.89101392820574,4.701156467198293,0.12140380903696811
139,8.73617186185228,6.781115452655021,0.20490193876718538
133,6.706946278205215,8.5130289265797,0.23679960451217824
112,5.879996165595573,4.764513925066976,0.16988876517604562
108,5.436271535394129,6.369680957778887,0.14024697788591214
117,7.439924402042928,8.302819284956852,0.22323584026804394
137,7.5694903055838605,5.756372401966075,0.2061338204790914
131,9.501303318250379,7.053888640607926,0.2260278583546136
134,5.688370419839443,5.546920786362509,0.11507105727531906
119,5.611306679504297,7.547350803717326,0.18262298516690387
142,8.475651614128248,8.044498842583407,0.19245833421076428
136,5.5541165168609785,8.268076979854955,0.24416539687320357
138,8.29210726010102,5.646421115287173,0.23440814236552968
108,7.503804451460785,8.961768073060531,0.27139736110498613
111,9.706602437506273,6.764730750143815,0.20910759780141097
135,6.367585678204797,6.114154591357622,0.2583456968719906
105,5.997642942964091,7.545727607447274,0.11157785917979877
149,5.595585568865729,6.88939972972182,0.2957005788723698
115,7.985949626395079,7.707075536333029,0.11614880059355187
120,9.018127283311973,6.845337937000139,0.20611022735975726
